--- Iniciando consumidor de predicciones ---
Conectado a Kafka. Esperando eventos...
Switzerland 2015 | real=7.587 predicho=7.186
Austria 2016 | real=7.119 predicho=6.542
United States 2016 | real=7.104 predicho=6.424
Costa Rica 2016 | real=7.087 predicho=5.959
Puerto Rico 2016 | real=7.039 predicho=6.187
Germany 2016 | real=6.994 predicho=6.596
Brazil 2016 | real=6.952 predicho=5.582
Belgium 2016 | real=6.929 predicho=6.473
Ireland 2016 | real=6.907 predicho=6.748
Luxembourg 2016 | real=6.871 predicho=6.902
Mexico 2016 | real=6.778 predicho=5.478
Singapore 2016 | real=6.739 predicho=6.875
United Kingdom 2016 | real=6.725 predicho=6.550
Chile 2016 | real=6.705 predicho=5.865
Panama 2016 | real=6.701 predicho=5.874
Argentina 2016 | real=6.650 predicho=5.721
Czech Republic 2016 | real=6.596 predicho=5.873
United Arab Emirates 2016 | real=6.573 predicho=6.539
Uruguay 2016 | real=6.545 predicho=6.084
Malta 2016 | real=6.488 predicho=6.478
Colombia 2016 | real=6.481 predicho=5.488
France 2016 | real=6.478 predicho=6.246
Thailand 2016 | real=6.474 predicho=5.843
Saudi Arabia 2016 | real=6.379 predicho=5.901
Taiwan 2016 | real=6.379 predicho=5.882
Qatar 2016 | real=6.375 predicho=6.903
Spain 2016 | real=6.361 predicho=6.120
Algeria 2016 | real=6.355 predicho=5.090
Guatemala 2016 | real=6.324 predicho=5.285
Suriname 2016 | real=6.269 predicho=5.453
Kuwait 2016 | real=6.239 predicho=6.132
Bahrain 2016 | real=6.218 predicho=6.118
Trinidad and Tobago 2016 | real=6.168 predicho=5.750
Venezuela 2016 | real=6.084 predicho=5.219
Slovakia 2016 | real=6.078 predicho=5.550
El Salvador 2016 | real=6.068 predicho=5.086
Malaysia 2016 | real=6.005 predicho=5.677
Nicaragua 2016 | real=5.992 predicho=5.308
Uzbekistan 2016 | real=5.987 predicho=5.689
Italy 2016 | real=5.977 predicho=5.714
Ecuador 2016 | real=5.976 predicho=5.440
Belize 2016 | real=5.956 predicho=5.102
Japan 2016 | real=5.921 predicho=6.370
Kazakhstan 2016 | real=5.919 predicho=5.586
Moldova 2016 | real=5.897 predicho=4.618
Russia 2016 | real=5.856 predicho=5.449
Poland 2016 | real=5.835 predicho=5.836
South Korea 2016 | real=5.835 predicho=5.686
Bolivia 2016 | real=5.822 predicho=5.109
Lithuania 2016 | real=5.813 predicho=5.333
Belarus 2016 | real=5.802 predicho=5.496
North Cyprus 2016 | real=5.771 predicho=6.035
Slovenia 2016 | real=5.768 predicho=6.171
Peru 2016 | real=5.743 predicho=5.232
Turkmenistan 2016 | real=5.658 predicho=5.452
Mauritius 2016 | real=5.648 predicho=5.595
Libya 2016 | real=5.615 predicho=5.365
Latvia 2016 | real=5.560 predicho=5.450
Cyprus 2016 | real=5.546 predicho=5.670
Paraguay 2016 | real=5.538 predicho=5.476
Romania 2016 | real=5.528 predicho=5.344
Estonia 2016 | real=5.517 predicho=5.885
Jamaica 2016 | real=5.510 predicho=5.309
Croatia 2016 | real=5.488 predicho=5.162
Hong Kong 2016 | real=5.458 predicho=6.646
Somalia 2016 | real=5.440 predicho=3.840
Kosovo 2016 | real=5.401 predicho=4.625
Turkey 2016 | real=5.389 predicho=5.272
Indonesia 2016 | real=5.314 predicho=5.210
Jordan 2016 | real=5.303 predicho=5.279
Azerbaijan 2016 | real=5.291 predicho=5.249
Philippines 2016 | real=5.279 predicho=5.249
China 2016 | real=5.245 predicho=5.425
Bhutan 2016 | real=5.196 predicho=5.343
Kyrgyzstan 2016 | real=5.185 predicho=4.940
Serbia 2016 | real=5.177 predicho=4.968
Bosnia and Herzegovina 2016 | real=5.163 predicho=4.731
Montenegro 2016 | real=5.161 predicho=4.992
Dominican Republic 2016 | real=5.155 predicho=5.636
Morocco 2016 | real=5.151 predicho=4.539
Hungary 2016 | real=5.145 predicho=5.314
Pakistan 2016 | real=5.132 predicho=4.041
Lebanon 2016 | real=5.129 predicho=5.241
Portugal 2016 | real=5.123 predicho=5.871
Macedonia 2016 | real=5.121 predicho=5.151
Vietnam 2016 | real=5.061 predicho=5.382
Somaliland Region 2016 | real=5.057 predicho=4.517
Tunisia 2016 | real=5.045 predicho=4.671
Greece 2016 | real=5.033 predicho=5.095
Tajikistan 2016 | real=4.996 predicho=4.774
Mongolia 2016 | real=4.907 predicho=5.362
Laos 2016 | real=4.876 predicho=4.905
Nigeria 2016 | real=4.875 predicho=4.025
Honduras 2016 | real=4.871 predicho=4.709
Iran 2016 | real=4.813 predicho=4.930
Zambia 2016 | real=4.795 predicho=4.388
Nepal 2016 | real=4.793 predicho=4.549
Palestinian Territories 2016 | real=4.754 predicho=4.494
Albania 2016 | real=4.655 predicho=5.020
Bangladesh 2016 | real=4.643 predicho=4.379
Sierra Leone 2016 | real=4.635 predicho=3.659
Iraq 2016 | real=4.575 predicho=4.897
Namibia 2016 | real=4.574 predicho=4.932
Cameroon 2016 | real=4.513 predicho=4.136
Ethiopia 2016 | real=4.508 predicho=4.028
South Africa 2016 | real=4.459 predicho=4.913
Sri Lanka 2016 | real=4.415 predicho=5.572
India 2016 | real=4.404 predicho=4.506
Myanmar 2016 | real=4.395 predicho=4.681
Egypt 2016 | real=4.362 predicho=4.581
Armenia 2016 | real=4.360 predicho=4.579
Kenya 2016 | real=4.356 predicho=4.487
Ukraine 2016 | real=4.324 predicho=4.811
Ghana 2016 | real=4.276 predicho=4.302
Congo (Kinshasa) 2016 | real=4.272 predicho=3.471
Georgia 2016 | real=4.252 predicho=4.761
Congo (Brazzaville) 2016 | real=4.236 predicho=4.380
Senegal 2016 | real=4.219 predicho=4.354
Bulgaria 2016 | real=4.217 predicho=5.189
Mauritania 2016 | real=4.201 predicho=4.201
Zimbabwe 2016 | real=4.193 predicho=3.804
Malawi 2016 | real=4.156 predicho=3.602
Sudan 2016 | real=4.139 predicho=3.939
Gabon 2016 | real=4.121 predicho=4.836
Mali 2016 | real=4.073 predicho=3.960
Haiti 2016 | real=4.028 predicho=3.596
Botswana 2016 | real=3.974 predicho=5.172
Comoros 2016 | real=3.956 predicho=3.749
Ivory Coast 2016 | real=3.916 predicho=4.063
Cambodia 2016 | real=3.907 predicho=4.806
Angola 2016 | real=3.866 predicho=3.709
Niger 2016 | real=3.856 predicho=3.915
South Sudan 2016 | real=3.832 predicho=3.448
Chad 2016 | real=3.763 predicho=3.442
Burkina Faso 2016 | real=3.739 predicho=3.958
Uganda 2016 | real=3.739 predicho=4.281
Yemen 2016 | real=3.724 predicho=3.953
Madagascar 2016 | real=3.695 predicho=3.642
Tanzania 2016 | real=3.666 predicho=4.329
Liberia 2016 | real=3.622 predicho=3.504
Guinea 2016 | real=3.607 predicho=3.589
Rwanda 2016 | real=3.515 predicho=4.712
Benin 2016 | real=3.484 predicho=3.696
Afghanistan 2016 | real=3.360 predicho=3.326
Togo 2016 | real=3.303 predicho=3.509
Syria 2016 | real=3.069 predicho=4.273
Burundi 2016 | real=2.905 predicho=2.876
Norway 2017 | real=7.537 predicho=7.246
Denmark 2017 | real=7.522 predicho=7.172
Iceland 2017 | real=7.504 predicho=7.113
Switzerland 2017 | real=7.494 predicho=7.250
Finland 2017 | real=7.469 predicho=7.079
Netherlands 2017 | real=7.377 predicho=7.016
Canada 2017 | real=7.316 predicho=7.089
New Zealand 2017 | real=7.314 predicho=7.147
Sweden 2017 | real=7.284 predicho=7.158
Australia 2017 | real=7.284 predicho=7.138
Israel 2017 | real=7.213 predicho=6.399
Costa Rica 2017 | real=7.079 predicho=6.308
Austria 2017 | real=7.006 predicho=6.893
United States 2017 | real=6.993 predicho=6.736
Ireland 2017 | real=6.977 predicho=7.114
Germany 2017 | real=6.951 predicho=6.926
Belgium 2017 | real=6.891 predicho=6.824
Luxembourg 2017 | real=6.863 predicho=7.287
United Kingdom 2017 | real=6.714 predicho=6.871
Chile 2017 | real=6.652 predicho=6.143
United Arab Emirates 2017 | real=6.648 predicho=6.946
Brazil 2017 | real=6.635 predicho=5.908
Czech Republic 2017 | real=6.609 predicho=6.315
Argentina 2017 | real=6.599 predicho=6.115
Mexico 2017 | real=6.578 predicho=5.877
Singapore 2017 | real=6.572 predicho=7.363
Malta 2017 | real=6.527 predicho=6.856
Uruguay 2017 | real=6.454 predicho=6.407
Guatemala 2017 | real=6.454 predicho=5.624
Panama 2017 | real=6.452 predicho=6.262
France 2017 | real=6.442 predicho=6.563
Thailand 2017 | real=6.424 predicho=6.274
Taiwan Province of China 2017 | real=6.422 predicho=6.294
Spain 2017 | real=6.403 predicho=6.520
Qatar 2017 | real=6.375 predicho=7.244
Colombia 2017 | real=6.357 predicho=5.830
Saudi Arabia 2017 | real=6.344 predicho=6.331
Trinidad and Tobago 2017 | real=6.168 predicho=6.106
Kuwait 2017 | real=6.105 predicho=6.520
Slovakia 2017 | real=6.098 predicho=5.993
Bahrain 2017 | real=6.087 predicho=6.524
Malaysia 2017 | real=6.084 predicho=5.992
Nicaragua 2017 | real=6.071 predicho=5.574
Ecuador 2017 | real=6.008 predicho=5.833
El Salvador 2017 | real=6.003 predicho=5.458
Poland 2017 | real=5.973 predicho=6.286
Uzbekistan 2017 | real=5.971 predicho=6.076
Italy 2017 | real=5.964 predicho=6.148
Russia 2017 | real=5.963 predicho=5.816
Belize 2017 | real=5.956 predicho=5.450
Japan 2017 | real=5.920 predicho=6.713
Lithuania 2017 | real=5.902 predicho=5.704
Algeria 2017 | real=5.872 predicho=5.371
Latvia 2017 | real=5.850 predicho=5.860
South Korea 2017 | real=5.838 predicho=6.034
Moldova 2017 | real=5.838 predicho=5.010
Romania 2017 | real=5.825 predicho=5.837
Bolivia 2017 | real=5.823 predicho=5.492
Turkmenistan 2017 | real=5.822 predicho=5.874
Kazakhstan 2017 | real=5.819 predicho=6.056
North Cyprus 2017 | real=5.810 predicho=6.367
Slovenia 2017 | real=5.758 predicho=6.553
Peru 2017 | real=5.715 predicho=5.660
Mauritius 2017 | real=5.629 predicho=5.962
Cyprus 2017 | real=5.621 predicho=6.080
Estonia 2017 | real=5.611 predicho=6.344
Belarus 2017 | real=5.569 predicho=5.805
Libya 2017 | real=5.525 predicho=5.756
Turkey 2017 | real=5.500 predicho=5.692
Paraguay 2017 | real=5.493 predicho=5.807
Hong Kong S.A.R., China 2017 | real=5.472 predicho=6.937
Philippines 2017 | real=5.430 predicho=5.587
Serbia 2017 | real=5.395 predicho=5.403
Jordan 2017 | real=5.336 predicho=5.625
Hungary 2017 | real=5.324 predicho=5.612
Jamaica 2017 | real=5.311 predicho=5.755
Croatia 2017 | real=5.293 predicho=5.497
Kosovo 2017 | real=5.279 predicho=5.199
China 2017 | real=5.273 predicho=5.781
Pakistan 2017 | real=5.269 predicho=4.494
Indonesia 2017 | real=5.262 predicho=5.637
Venezuela 2017 | real=5.250 predicho=5.416
Montenegro 2017 | real=5.237 predicho=5.468
Morocco 2017 | real=5.235 predicho=5.087
Azerbaijan 2017 | real=5.234 predicho=5.614
Dominican Republic 2017 | real=5.230 predicho=5.998
Greece 2017 | real=5.227 predicho=5.546
Lebanon 2017 | real=5.225 predicho=5.560
Portugal 2017 | real=5.195 predicho=6.280
Bosnia and Herzegovina 2017 | real=5.182 predicho=5.254
Honduras 2017 | real=5.181 predicho=5.155
Macedonia 2017 | real=5.175 predicho=5.565
Somalia 2017 | real=5.151 predicho=4.168
Vietnam 2017 | real=5.074 predicho=5.748
Nigeria 2017 | real=5.074 predicho=4.640
Tajikistan 2017 | real=5.041 predicho=5.232
Bhutan 2017 | real=5.011 predicho=5.744
Kyrgyzstan 2017 | real=5.004 predicho=5.374
Nepal 2017 | real=4.962 predicho=5.040
Mongolia 2017 | real=4.955 predicho=5.737
South Africa 2017 | real=4.829 predicho=5.317
Tunisia 2017 | real=4.805 predicho=5.120
Palestinian Territories 2017 | real=4.775 predicho=4.950
Egypt 2017 | real=4.735 predicho=5.118
Bulgaria 2017 | real=4.714 predicho=5.748
Sierra Leone 2017 | real=4.709 predicho=3.949
Cameroon 2017 | real=4.695 predicho=4.407
Iran 2017 | real=4.692 predicho=5.223
Albania 2017 | real=4.644 predicho=5.372
Bangladesh 2017 | real=4.608 predicho=4.885
Namibia 2017 | real=4.574 predicho=5.272
Kenya 2017 | real=4.553 predicho=4.832
Mozambique 2017 | real=4.550 predicho=4.212
Myanmar 2017 | real=4.545 predicho=5.134
Senegal 2017 | real=4.535 predicho=4.780
Zambia 2017 | real=4.514 predicho=4.747
Iraq 2017 | real=4.497 predicho=5.223
Gabon 2017 | real=4.465 predicho=5.215
Ethiopia 2017 | real=4.460 predicho=4.490
Sri Lanka 2017 | real=4.440 predicho=5.988
Armenia 2017 | real=4.376 predicho=4.967
India 2017 | real=4.315 predicho=4.987
Mauritania 2017 | real=4.292 predicho=4.444
Congo (Brazzaville) 2017 | real=4.291 predicho=4.747
Georgia 2017 | real=4.286 predicho=5.065
Congo (Kinshasa) 2017 | real=4.280 predicho=3.926
Mali 2017 | real=4.190 predicho=4.433
Ivory Coast 2017 | real=4.180 predicho=4.388
Cambodia 2017 | real=4.168 predicho=5.238
Sudan 2017 | real=4.139 predicho=4.251
Ghana 2017 | real=4.120 predicho=4.634
Ukraine 2017 | real=4.096 predicho=5.107
Uganda 2017 | real=4.081 predicho=4.520
Burkina Faso 2017 | real=4.032 predicho=4.265
Niger 2017 | real=4.028 predicho=4.178
Malawi 2017 | real=3.970 predicho=4.098
Chad 2017 | real=3.936 predicho=3.755
Zimbabwe 2017 | real=3.875 predicho=4.270
Lesotho 2017 | real=3.808 predicho=4.334
Angola 2017 | real=3.795 predicho=3.999
Afghanistan 2017 | real=3.794 predicho=3.586
Botswana 2017 | real=3.766 predicho=5.506
Benin 2017 | real=3.657 predicho=4.004
Madagascar 2017 | real=3.644 predicho=4.060
Haiti 2017 | real=3.603 predicho=3.695
Yemen 2017 | real=3.593 predicho=4.320
South Sudan 2017 | real=3.591 predicho=3.672
Liberia 2017 | real=3.533 predicho=3.891
Guinea 2017 | real=3.507 predicho=3.994
Togo 2017 | real=3.495 predicho=3.878
Rwanda 2017 | real=3.471 predicho=5.019
Syria 2017 | real=3.462 predicho=4.322
Tanzania 2017 | real=3.349 predicho=4.703
Burundi 2017 | real=2.905 predicho=3.187
Central African Republic 2017 | real=2.693 predicho=2.825
Finland 2018 | real=7.632 predicho=7.150
Norway 2018 | real=7.594 predicho=7.271
Denmark 2018 | real=7.555 predicho=7.232
Iceland 2018 | real=7.495 predicho=7.120
Switzerland 2018 | real=7.487 predicho=7.257
Netherlands 2018 | real=7.441 predicho=7.041
Canada 2018 | real=7.328 predicho=7.079
New Zealand 2018 | real=7.324 predicho=7.162
Sweden 2018 | real=7.314 predicho=7.172
Australia 2018 | real=7.272 predicho=7.150
United Kingdom 2018 | real=7.190 predicho=6.434
Austria 2018 | real=7.139 predicho=6.925
Costa Rica 2018 | real=7.072 predicho=6.366
Ireland 2018 | real=6.977 predicho=7.152
Germany 2018 | real=6.965 predicho=6.874
Belgium 2018 | real=6.927 predicho=6.837
Luxembourg 2018 | real=6.910 predicho=7.255
United States 2018 | real=6.886 predicho=6.706
Israel 2018 | real=6.814 predicho=6.865
Czech Republic 2018 | real=6.711 predicho=6.429
Malta 2018 | real=6.627 predicho=6.890
France 2018 | real=6.489 predicho=6.629
Mexico 2018 | real=6.488 predicho=5.909
Chile 2018 | real=6.476 predicho=6.060
Taiwan 2018 | real=6.441 predicho=6.399
Panama 2018 | real=6.430 predicho=6.288
Brazil 2018 | real=6.419 predicho=5.939
Argentina 2018 | real=6.388 predicho=6.179
Guatemala 2018 | real=6.382 predicho=5.696
Uruguay 2018 | real=6.379 predicho=6.417
Qatar 2018 | real=6.374 predicho=6.928
Saudi Arabia 2018 | real=6.371 predicho=6.222
Singapore 2018 | real=6.343 predicho=7.432
Malaysia 2018 | real=6.322 predicho=5.792
Spain 2018 | real=6.310 predicho=6.535
Colombia 2018 | real=6.260 predicho=5.855
Trinidad & Tobago 2018 | real=6.192 predicho=6.141
Slovakia 2018 | real=6.173 predicho=6.056
El Salvador 2018 | real=6.167 predicho=5.477
Nicaragua 2018 | real=6.141 predicho=5.672
Poland 2018 | real=6.123 predicho=6.300
Bahrain 2018 | real=6.105 predicho=6.470
Uzbekistan 2018 | real=6.096 predicho=6.245
Kuwait 2018 | real=6.083 predicho=6.425
Thailand 2018 | real=6.072 predicho=6.240
Italy 2018 | real=6.000 predicho=6.199
Ecuador 2018 | real=5.973 predicho=5.943
Belize 2018 | real=5.956 predicho=5.437
Lithuania 2018 | real=5.952 predicho=5.914
Slovenia 2018 | real=5.948 predicho=6.619
Romania 2018 | real=5.945 predicho=5.927
Latvia 2018 | real=5.933 predicho=5.853
Japan 2018 | real=5.915 predicho=6.750
Mauritius 2018 | real=5.891 predicho=6.152
Jamaica 2018 | real=5.890 predicho=5.887
South Korea 2018 | real=5.875 predicho=5.979
Northern Cyprus 2018 | real=5.835 predicho=6.364
Russia 2018 | real=5.810 predicho=5.797
Kazakhstan 2018 | real=5.790 predicho=6.048
Cyprus 2018 | real=5.762 predicho=6.152
Bolivia 2018 | real=5.752 predicho=5.486
Estonia 2018 | real=5.739 predicho=6.418
Paraguay 2018 | real=5.681 predicho=5.834
Peru 2018 | real=5.663 predicho=5.737
Kosovo 2018 | real=5.662 predicho=5.460
Moldova 2018 | real=5.640 predicho=4.977
Turkmenistan 2018 | real=5.636 predicho=5.689
Hungary 2018 | real=5.620 predicho=5.706
Libya 2018 | real=5.566 predicho=5.755
Philippines 2018 | real=5.524 predicho=5.668
Honduras 2018 | real=5.504 predicho=5.296
Belarus 2018 | real=5.483 predicho=5.800
Turkey 2018 | real=5.483 predicho=5.799
Pakistan 2018 | real=5.472 predicho=4.650
Hong Kong 2018 | real=5.430 predicho=6.921
Portugal 2018 | real=5.410 predicho=6.393
Serbia 2018 | real=5.398 predicho=5.523
Greece 2018 | real=5.358 predicho=5.528
Lebanon 2018 | real=5.358 predicho=5.941
Montenegro 2018 | real=5.347 predicho=5.532
Croatia 2018 | real=5.321 predicho=5.712
Dominican Republic 2018 | real=5.302 predicho=5.986
Algeria 2018 | real=5.295 predicho=5.095
Morocco 2018 | real=5.254 predicho=5.161
China 2018 | real=5.246 predicho=6.005
Azerbaijan 2018 | real=5.201 predicho=5.611
Tajikistan 2018 | real=5.199 predicho=4.802
Macedonia 2018 | real=5.185 predicho=5.609
Jordan 2018 | real=5.161 predicho=5.601
Nigeria 2018 | real=5.155 predicho=4.603
Kyrgyzstan 2018 | real=5.131 predicho=5.447
Bosnia and Herzegovina 2018 | real=5.129 predicho=5.334
Mongolia 2018 | real=5.125 predicho=5.632
Vietnam 2018 | real=5.103 predicho=5.843
Indonesia 2018 | real=5.093 predicho=5.638
Bhutan 2018 | real=5.082 predicho=5.709
Somalia 2018 | real=4.982 predicho=4.232
Cameroon 2018 | real=4.975 predicho=4.411
Bulgaria 2018 | real=4.933 predicho=5.792
Nepal 2018 | real=4.880 predicho=5.165
Venezuela 2018 | real=4.806 predicho=5.316
Gabon 2018 | real=4.758 predicho=5.165
Palestinian Territories 2018 | real=4.743 predicho=4.962
South Africa 2018 | real=4.724 predicho=5.430
Iran 2018 | real=4.707 predicho=5.582
Ivory Coast 2018 | real=4.671 predicho=4.331
Ghana 2018 | real=4.657 predicho=4.731
Senegal 2018 | real=4.631 predicho=4.716
Laos 2018 | real=4.623 predicho=5.401
Tunisia 2018 | real=4.592 predicho=5.085
Albania 2018 | real=4.586 predicho=5.408
Sierra Leone 2018 | real=4.571 predicho=3.733
Congo (Brazzaville) 2018 | real=4.559 predicho=4.783
Bangladesh 2018 | real=4.500 predicho=5.135
Sri Lanka 2018 | real=4.471 predicho=5.943
Iraq 2018 | real=4.456 predicho=5.165
